Profile Type,Bank/Issuer Name,Payment Method Brand,Payment Method Type,Used For Collections,Used For Disbursements,Is the Latest Version,Not Payable,Billing Country,Country,Region,Deleted At
UBER_BANK,,,,false,false,true,false,,,,
STORED_VALUE,,,,true,false,true,false,,,,
PAYPAL,,,,true,false,true,false,,,,
BANK_CARD,JPMorgan Chase Bank N.A.,VISA,CREDIT,true,false,false,false,US,United States,US & Canada,
BANK_CARD,"Wells Fargo Bank, National Association",VISA,DEBIT,false,true,true,false,US,United States,US & Canada,2024-05-28T22:53:40.000Z
BANK_CARD,BARCLAYS BANK DELAWARE,MASTERCARD,CREDIT,true,false,true,false,US,United States,US & Canada,
BANK_CARD,JPMorgan Chase Bank N.A.,VISA,CREDIT,true,false,false,false,US,United States,US & Canada,
BANK_CARD,"Wells Fargo Bank, National Association",VISA,DEBIT,false,true,true,false,US,United States,US & Canada,
BANK_CARD,JPMorgan Chase Bank N.A.,VISA,CREDIT,true,false,true,false,US,United States,US & Canada,
BANK_CARD,"Wells Fargo Bank, National Association",VISA,DEBIT,false,true,false,false,US,United States,US & Canada,
BANK_CARD,"Wells Fargo Bank, National Association",VISA,DEBIT,false,true,false,false,US,United States,US & Canada,
BANK_ACCOUNT,,,,false,true,false,false,US,United States,US & Canada,
BANK_ACCOUNT,,,,false,true,true,false,US,United States,US & Canada,
APPLE_PAY_DISPLAY,,,,true,false,true,false,,,,
APPLE_PAY,,APPLE PAY VISA,,true,false,true,false,,,,
APPLE_PAY,,APPLE PAY MC,,true,false,true,false,,,,
APPLE_PAY,,APPLE PAY VISA,,true,false,true,false,,,,
APPLE_PAY,,APPLE PAY VISA,,true,false,true,false,,,,
APPLE_PAY,,APPLE PAY VISA,UNKNOWN,true,false,true,false,,,,
APPLE_PAY,,APPLE PAY DISCOVER,,true,false,true,false,,,,
